"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"90000010000","99399","Unincorp. Other Territories","9","Other Territories",2.14635
"90000020000","99399","Unincorp. Other Territories","9","Other Territories",4.33676
"90000030000","99399","Unincorp. Other Territories","9","Other Territories",3.14186
"90000040000","99399","Unincorp. Other Territories","9","Other Territories",28.8627
"90000050000","99399","Unincorp. Other Territories","9","Other Territories",0.675919
"90000060000","99399","Unincorp. Other Territories","9","Other Territories",0.0295416
"90000070000","99399","Unincorp. Other Territories","9","Other Territories",28.1141
"90000080000","99399","Unincorp. Other Territories","9","Other Territories",0.0417621
"90000091000","99399","Unincorp. Other Territories","9","Other Territories",0.408574
"90000092000","99399","Unincorp. Other Territories","9","Other Territories",0.0409628
"90000101000","99399","Unincorp. Other Territories","9","Other Territories",127.411
"90000102000","99399","Unincorp. Other Territories","9","Other Territories",5.79423
"90000103000","99399","Unincorp. Other Territories","9","Other Territories",0.857981
"90000111000","99399","Unincorp. Other Territories","9","Other Territories",0.598546
"90000112000","99399","Unincorp. Other Territories","9","Other Territories",0.223247
"90000113000","99399","Unincorp. Other Territories","9","Other Territories",0.679945
"90000114000","99399","Unincorp. Other Territories","9","Other Territories",0.203589
"90000121000","99399","Unincorp. Other Territories","9","Other Territories",0.0776873
"90000122000","99399","Unincorp. Other Territories","9","Other Territories",0.0773207
"90000123000","99399","Unincorp. Other Territories","9","Other Territories",0.211898
"90000130000","99399","Unincorp. Other Territories","9","Other Territories",1.04698
"90000150000","99399","Unincorp. Other Territories","9","Other Territories",0.000917012
"90000160000","99399","Unincorp. Other Territories","9","Other Territories",0.00171592
"90000170000","99399","Unincorp. Other Territories","9","Other Territories",0.000381568
"90000180000","99399","Unincorp. Other Territories","9","Other Territories",0.892645
"90000190000","99399","Unincorp. Other Territories","9","Other Territories",0.000675277
"90000200000","99399","Unincorp. Other Territories","9","Other Territories",0.00118573
"90000210000","99399","Unincorp. Other Territories","9","Other Territories",0.0604216
"90000220000","99399","Unincorp. Other Territories","9","Other Territories",0.000824944
"90000230000","99399","Unincorp. Other Territories","9","Other Territories",0.0171643
"90000240000","99399","Unincorp. Other Territories","9","Other Territories",0.0112621
"90000250000","99399","Unincorp. Other Territories","9","Other Territories",0.0356485
"90000260000","99399","Unincorp. Other Territories","9","Other Territories",0.000324963
"90000270000","99399","Unincorp. Other Territories","9","Other Territories",0.00326847
"90000280000","99399","Unincorp. Other Territories","9","Other Territories",0.0599031
"90000290000","99399","Unincorp. Other Territories","9","Other Territories",0.00262456
"90000300000","99399","Unincorp. Other Territories","9","Other Territories",0.000105809
"90000310000","99399","Unincorp. Other Territories","9","Other Territories",0.000731977
"90000320000","99399","Unincorp. Other Territories","9","Other Territories",0.00361704
"90000330000","99399","Unincorp. Other Territories","9","Other Territories",0.10009
"90000340000","99399","Unincorp. Other Territories","9","Other Territories",0.0141145
"90000350000","99399","Unincorp. Other Territories","9","Other Territories",0.00239347
"90000360000","99399","Unincorp. Other Territories","9","Other Territories",0.00397582
"90000370000","99399","Unincorp. Other Territories","9","Other Territories",0.002017
"90000380000","99399","Unincorp. Other Territories","9","Other Territories",0.00100601
"90000390000","99399","Unincorp. Other Territories","9","Other Territories",0.19205
"90000400000","99399","Unincorp. Other Territories","9","Other Territories",0.00234118
"90000410000","99399","Unincorp. Other Territories","9","Other Territories",0.00111491
"90000420000","99399","Unincorp. Other Territories","9","Other Territories",0.002686
"90000430000","99399","Unincorp. Other Territories","9","Other Territories",0.0430652
"90000440000","99399","Unincorp. Other Territories","9","Other Territories",0.00351658
"90000450000","99399","Unincorp. Other Territories","9","Other Territories",0.00200606
"90000460000","99399","Unincorp. Other Territories","9","Other Territories",0.00239585
"90000470000","99399","Unincorp. Other Territories","9","Other Territories",0.020645
"90000480000","99399","Unincorp. Other Territories","9","Other Territories",0.194611
"90000490000","99399","Unincorp. Other Territories","9","Other Territories",0.00985155
"90000500000","99399","Unincorp. Other Territories","9","Other Territories",0.0016603
"90000510000","99399","Unincorp. Other Territories","9","Other Territories",0.00690141
"90000520000","99399","Unincorp. Other Territories","9","Other Territories",1.16764
"90000530000","99399","Unincorp. Other Territories","9","Other Territories",0.0161099
"90000540000","99399","Unincorp. Other Territories","9","Other Territories",0.00297034
"90000550000","99399","Unincorp. Other Territories","9","Other Territories",0.00199647
"90000560000","99399","Unincorp. Other Territories","9","Other Territories",0.00287728
"90000570000","99399","Unincorp. Other Territories","9","Other Territories",5.80641
"90000580000","99399","Unincorp. Other Territories","9","Other Territories",0.00551697
"90000590000","99399","Unincorp. Other Territories","9","Other Territories",0.00157568
"90000600000","99399","Unincorp. Other Territories","9","Other Territories",0.0022547
"90000610000","99399","Unincorp. Other Territories","9","Other Territories",0.0142427
"90000620000","99399","Unincorp. Other Territories","9","Other Territories",0.00108011
"90000630000","99399","Unincorp. Other Territories","9","Other Territories",0.319637
"90000640000","99399","Unincorp. Other Territories","9","Other Territories",0.00166084
"90000650000","99399","Unincorp. Other Territories","9","Other Territories",0.0295772
"90000660000","99399","Unincorp. Other Territories","9","Other Territories",3.56122
"90000670000","99399","Unincorp. Other Territories","9","Other Territories",0.0203816
"90000680000","99399","Unincorp. Other Territories","9","Other Territories",0.0067389
"90000690000","99399","Unincorp. Other Territories","9","Other Territories",0.00764589
"97000001777","99399","Unincorp. Other Territories","9","Other Territories",0
"97000002777","99399","Unincorp. Other Territories","9","Other Territories",0
"90000009499","99499","No usual address (OT)","9","Other Territories",0
